cluster_id,count,latitude_mean,longitude_mean,latitude_min,latitude_max,longitude_min,longitude_max
142,11,30.439769000000002,-84.28064700000002,30.439769,30.439769,-84.280647,-84.280647
141,11,40.832721,-73.94571599999999,40.832721,40.832721,-73.945716,-73.945716
218,10,43.92683,2.146797,43.92683,43.92683,2.146797,2.146797
185,10,42.346019,-72.516708,42.346019,42.346019,-72.516708,-72.516708
193,10,40.813621,-96.70774000000002,40.813621,40.813621,-96.70774,-96.70774
67,10,37.976150000000004,23.736415,37.97615,37.97615,23.736415,23.736415
77,10,34.0534293,-118.24522880000002,34.05329,34.053489,-118.245323,-118.245009
78,10,42.4404945,-76.49545379999999,42.44049,42.440495,-76.495454,-76.495452
24,10,44.1634478,-77.3680124,44.163196,44.163689,-77.368061,-77.367868
72,10,41.657825,-91.526534,41.657825,41.657825,-91.526534,-91.526534
201,10,39.100892,-84.509153,39.100892,39.100892,-84.509153,-84.509153
90,10,53.226084,-0.542038,53.226084,53.226084,-0.542038,-0.542038
226,9,43.929797,2.145423,43.929797,43.929797,2.145423,2.145423
227,9,44.736369,1.380672,44.736369,44.736369,1.380672,1.380672
94,9,55.85780788888889,-4.2425107777777775,55.857799,55.857809,-4.242511,-4.242509
8,9,-33.859582,151.21891,-33.859582,-33.859582,151.21891,151.21891
76,9,32.715685,-117.16172399999999,32.715685,32.715685,-117.161724,-117.161724
15,9,42.733868,-84.553198,42.733868,42.733868,-84.553198,-84.553198
99,9,51.06954,-1.8002840000000002,51.06954,51.06954,-1.800284,-1.800284
179,9,5.55,-0.2,5.55,5.55,-0.2,-0.2
173,9,37.5,122.116666,37.5,37.5,122.116666,122.116666
187,8,19.71923,-155.081863,19.71923,19.71923,-155.081863,-155.081863
194,8,32.89925,-105.960319,32.89925,32.89925,-105.960319,-105.960319
186,8,38.899101,-77.028999,38.899101,38.899101,-77.028999,-77.028999
119,8,44.649280375000004,-63.576112124999995,44.649246,44.649521,-63.576164,-63.575749
120,8,44.654842,-63.584362,44.654842,44.654842,-63.584362,-63.584362
148,8,-28.21813,152.034653,-28.21813,-28.21813,152.034653,152.034653
153,8,-27.183495,151.263463,-27.183495,-27.183495,151.263463,151.263463
158,8,-24.86608175,152.34888525000002,-24.866109,-24.866,152.348847,152.349
167,8,-42.886294,147.328376,-42.886294,-42.886294,147.328376,147.328376
175,8,43.7,-79.416667,43.7,43.7,-79.416667,-79.416667
162,8,-27.46770075,153.02792125,-27.468,-27.46758,153.027892,153.028
74,8,42.36679,-71.106019,42.36679,42.36679,-71.106019,-71.106019
108,8,46.20809,5.227585,46.20809,46.20809,5.227585,5.227585
104,8,46.712448,1.71832,46.712448,46.712448,1.71832,1.71832
14,8,42.74906,-84.540023,42.74906,42.74906,-84.540023,-84.540023
196,8,35.223079,-106.615867,35.223079,35.223079,-106.615867,-106.615867
97,8,52.622495,1.2949,52.622495,52.622495,1.2949,1.2949
96,8,55.954155,-3.202774,55.954155,55.954155,-3.202774,-3.202774
41,8,44.175748875000004,-77.37766612499999,44.175402,44.176217,-77.378017,-77.377105
30,8,44.169996499999996,-77.37680925000001,44.169599,44.170484,-77.377009,-77.376601
80,8,42.5224,-70.895809,42.5224,42.5224,-70.895809,-70.895809
51,8,44.1667145,-77.3581595,44.166398,44.166898,-77.358427,-77.35804
61,7,44.18541714285714,-77.07333685714286,44.185219,44.185581,-77.073436,-77.073276
70,7,41.492124999999994,-71.311354,41.492125,41.492125,-71.311354,-71.311354
230,7,44.355769,2.031784,44.355769,44.355769,2.031784,2.031784
145,7,-25.6243,151.60819999999998,-25.6243,-25.6243,151.6082,151.6082
64,7,-43.53394042857143,172.63940471428572,-43.534207,-43.533896,172.639374,172.639589
192,7,33.610389,-114.598838,33.610389,33.610389,-114.598838,-114.598838
3,7,-28.168439857142857,153.53784185714287,-28.16844,-28.168439,153.537841,153.537842
210,7,37.54825528571428,-77.43901542857144,37.548142,37.548546,-77.439455,-77.438838
36,7,44.16322171428572,-77.36458928571427,44.162919,44.163535,-77.364842,-77.364349
28,7,44.156667285714285,-77.37959442857144,44.156531,44.15687,-77.38012,-77.379026
44,7,44.170446285714284,-77.38258942857144,44.170277,44.170531,-77.382953,-77.382395
217,7,43.826477000000004,4.35213,43.826477,43.826477,4.35213,4.35213
160,7,-20.010209,148.244919,-20.010209,-20.010209,148.244919,148.244919
48,7,44.19521785714285,-77.05538871428573,44.195112,44.195312,-77.055401,-77.055358
138,7,35.322416,-120.63230499999999,35.322416,35.322416,-120.632305,-120.632305
219,7,43.09736300000001,-0.04682000000000001,43.097363,43.097363,-0.04682,-0.04682
182,7,38.254859,-85.76640299999998,38.254859,38.254859,-85.766403,-85.766403
93,7,51.75620500000001,-1.259489,51.756205,51.756205,-1.259489,-1.259489
9,7,-33.87284271428572,151.20998014285715,-33.873368,-33.872393,151.209661,151.210606
92,7,50.71990399999999,-3.531644,50.719904,50.719904,-3.531644,-3.531644
10,7,-33.85953485714286,151.22187414285713,-33.859796,-33.859328,151.221485,151.222139
12,7,-27.468917428571423,153.02367971428572,-27.469173,-27.468583,153.023521,153.024103
163,7,-27.466028285714284,153.02612700000003,-27.466069,-27.465974,153.026032,153.026182
11,7,-33.853666,151.215476,-33.853666,-33.853666,151.215476,151.215476
82,7,20.682906714285714,-88.56879757142858,20.682583,20.682984,-88.569138,-88.568698
86,7,50.94165428571428,6.955062714285715,50.94165,50.941655,6.955049,6.955065
126,7,-35.29835,149.16363,-35.29835,-35.29835,149.16363,149.16363
128,7,56.00126,-3.391599,56.00126,56.00126,-3.391599,-3.391599
199,6,31.757509,-106.486358,31.757509,31.757509,-106.486358,-106.486358
168,6,35.9,14.516666,35.9,35.9,14.516666,14.516666
188,6,34.03617,-118.689567,34.03617,34.03617,-118.689567,-118.689567
209,6,37.55001933333333,-77.43733900000001,37.549956,37.550058,-77.43748,-77.437158
225,6,43.98318,1.9099040000000003,43.98318,43.98318,1.909904,1.909904
221,6,59.326879,18.071748,59.326879,59.326879,18.071748,18.071748
222,6,44.538091,1.0131879999999998,44.538091,44.538091,1.013188,1.013188
231,6,43.304194,-0.369415,43.304194,43.304194,-0.369415,-0.369415
177,6,-33.300000000000004,26.533333,-33.3,-33.3,26.533333,26.533333
223,6,44.15462200000001,1.888961,44.154622,44.154622,1.888961,1.888961
208,6,37.54780099999999,-77.43815599999999,37.547746,37.547911,-77.438205,-77.438058
0,6,30.083740000000002,31.255359666666664,30.08374,30.08374,31.255359,31.25536
233,6,27.506901,-97.864344,27.506901,27.506901,-97.864344,-97.864344
35,6,44.159376,-77.37476466666666,44.159286,44.159417,-77.375056,-77.374573
62,6,44.10113583333333,-77.5762775,44.101077,44.101269,-77.576544,-77.57619
73,6,32.78117866666667,-79.9315855,32.78115,32.781285,-79.931738,-79.931373
79,6,42.651455,-73.755274,42.651455,42.651455,-73.755274,-73.755274
56,6,44.16156483333333,-77.3793675,44.16128,44.161865,-77.379691,-77.378854
55,6,44.1701405,-77.38379116666665,44.16993,44.170384,-77.384412,-77.383489
98,6,52.32132000000001,-1.56707,52.32132,52.32132,-1.56707,-1.56707
101,6,42.341114,-3.699825,42.341114,42.341114,-3.699825,-3.699825
49,6,44.19681966666666,-77.05608083333334,44.196751,44.196928,-77.05656,-77.055766
110,6,43.61085500000001,3.87609,43.610855,43.610855,3.87609,3.87609
47,6,44.219861,-77.387609,44.219861,44.219861,-77.387609,-77.387609
116,6,44.194982,-77.05073400000002,44.194982,44.194982,-77.050734,-77.050734
1,6,-33.85498466666667,151.21436766666667,-33.85527,-33.854771,151.213803,151.21479
124,6,44.758663000000006,5.364851000000001,44.758663,44.758663,5.364851,5.364851
127,6,53.340731000000005,-6.254942833333334,53.34038,53.341036,-6.255244,-6.254771
118,6,44.195989,-77.055809,44.195989,44.195989,-77.055809,-77.055809
33,6,44.161437166666666,-77.39329466666668,44.1613,44.161565,-77.393553,-77.393167
13,6,-33.85934433333333,151.2103695,-33.859439,-33.859261,151.210241,151.210498
7,6,-33.86539150000001,151.20733866666663,-33.865783,-33.865115,151.207065,151.207494
152,6,-26.403958999999997,146.248016,-26.403959,-26.403959,146.248016,146.248016
149,6,-27.466263499999997,153.02463366666666,-27.46631,-27.466031,153.02461,153.024752
134,6,-33.861429333333334,151.2107371666667,-33.861796,-33.861106,151.210584,151.210885
