id,title,description,date_taken,date_uploaded,latitude,longitude,context,image_url,tags,source_dataset,vision_label,vision_reason,vision_error,vision_model,vision_backend
12960926794,King George V and the Prince of Wales inspecting the famous victor HMAS Sydney at Portsmouth,"While escorting the first convoy of ANZAC troops bound for Europe on 9 November 1914 the Royal Australian Navy light cruiser HMAS Sydney engaged the infamous German commerce raider SMS Emden. The two light cruisers fought a 90 minute battle. The Emden’s guns had more range and fired first, but Sydney’s more powerful main guns pounded the Emden until it was disabled and beached on North Keeling Island. The Royal Australian Navy’s first great test of war ended in a comprehensive victory. 

The exhibition <a href=""http://www.anmm.gov.au/site/page.cfm?u=2208"" rel=""nofollow"">'Test of War - Royal Australian Navy in WW1</a> will open at the Australian National Maritime Museum 12 September 2014 and run until May 2015.

ANMM collection 00027358",1914-01-01 00:00:00,1394071999,50.804008,-1.08728,0,https://live.staticflickr.com/2253/12960926794_1baa4cae6e_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.002,,ViT-B-32,openclip
12917246243,SS HOCHST,"This photo is part of the Australian National Maritime Museum’s William Hall collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number ANMS1092[248]",1928-01-01 00:00:00,1393895300,-33.854947,151.206575,0,https://live.staticflickr.com/3830/12917246243_b7375659a2_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.110,,ViT-B-32,openclip
12915040543,RMS ARCADIA,"This photo is part of the Australian National Maritime Museum’s William Hall collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number ANMS1092[269]",1890-01-01 00:00:00,1393886969,-33.858877,151.211625,0,https://live.staticflickr.com/2849/12915040543_948e85e621_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.161,,ViT-B-32,openclip
12786655945,Sailing on Sydney Harbour,"This photo is part of the Australian National Maritime Museum’s William Hall collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number 00010736",1920-01-01 00:00:00,1393394198,-33.857894,151.22476,0,https://live.staticflickr.com/3823/12786655945_509a2415e1_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.343,,ViT-B-32,openclip
12786623715,Yacht on Sydney Harbour,"This photo is part of the Australian National Maritime Museum’s William Hall collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number 00010726",1920-01-01 00:00:00,1393394039,-33.857284,151.222714,0,https://live.staticflickr.com/3709/12786623715_2f95e3ac16_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.279,,ViT-B-32,openclip
12786593925,Yacht on Sydney Harbour,"This photo is part of the Australian National Maritime Museum’s William Hall collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number 00010729",1920-01-01 00:00:00,1393393901,-33.849426,151.237564,0,https://live.staticflickr.com/7371/12786593925_a6824aa819_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.345,,ViT-B-32,openclip
12786962894,Yachts on Sydney Harbour,"This photo is part of the Australian National Maritime Museum’s William Hall collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number 00010723",1920-01-01 00:00:00,1393393575,-33.853914,151.247629,0,https://live.staticflickr.com/7407/12786962894_0301c6fe8c_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.184,,ViT-B-32,openclip
12786493905,Yacht on Sydney Harbour,"This photo is part of the Australian National Maritime Museum’s William Hall collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number 00010711",1920-01-01 00:00:00,1393393433,-33.856127,151.222027,0,https://live.staticflickr.com/2863/12786493905_3742267fda_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.090,,ViT-B-32,openclip
12786430185,Yacht on Sydney Harbour,"This photo is part of the Australian National Maritime Museum’s William Hall collection. If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The Australian National Maritime Museum undertakes research and accepts public comments that enhance the information we hold about images in our collection. If you can identify a person, vessel or landmark, write the details in the Comments box below. 

Thank you for helping caption this important historical image.

Object number 00010709
",1915-01-01 00:00:00,1393393151,-33.855591,151.228207,0,https://live.staticflickr.com/5512/12786430185_f741e63c95_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.064,,ViT-B-32,openclip
12737752745,HMAT BORDA berthing at Millers Point,"This glass plate negative depicts the portside bow view of HMAT BORDA beside wharf 10 at Millers Point, Sydney. Its hull and funnel are painted in dazzle camouflage. BORDA was requisitioned from the P&amp;O Steam Navigation Company by the government for use as troopship in 1916 or 1917.

This photo is part of the Australian National Maritime Museum’s Samuel J. Hood Studio collection. Sam Hood (1872-1953) was a Sydney photographer with a passion for ships. His 60-year career spanned the romantic age of sail and two world wars. The photos in the collection were taken mainly in Sydney and Newcastle during the first half of the 20th century. 

If reproduced or distributed, this image should be clearly attributed to the collection of the Australian National Maritime Museum; and not be used for any commercial or for-profit purposes without the permission of the museum. For more information see our <a href=""http://www.anmm.gov.au/site/page.cfm?u=1657"" rel=""nofollow"">Flickr Commons Rights Statement</a>.

The ANMM undertakes research and accepts public comments that enhance the information we hold about images in our collection. This record has been updated accordingly. 

Photographer: Samuel J. Hood Studio Collection

Object no. 00024648",1917-01-01 00:00:00,1393215808,-33.855876,151.205477,0,https://live.staticflickr.com/2894/12737752745_002355600e_o.jpg,,Australian National Maritime Museum on The Commons,NO,openclip p(building)=0.045,,ViT-B-32,openclip
